stage	processing_batch	sample_type	read	module	metric	unit	n_libraries	median	p10	p90	minimum	maximum
raw	pilot	positive_control	R1	Per sequence quality scores	pct_reads_mean_quality_le_30	percent	38	6.011947	4.484060	32.453669	3.622526	50.245537
raw	pilot	positive_control	R1	Per tile sequence quality	maximum_tile_mean_deviation	Phred	38	11.332256	8.673508	12.066770	8.120031	13.300400
raw	pilot	positive_control	R1	Sequence Duplication Levels	deduplicated_reads	percent	38	6.751381	4.634039	10.731054	4.010208	11.982801
raw	pilot	positive_control	R1	Sequence Duplication Levels	duplicate_reads	percent	38	93.248619	89.268946	95.365961	88.017199	95.989792
raw	pilot	positive_control	R1	Sequence Duplication Levels	reads_duplication_level_gt_10	percent	38	89.905889	84.039517	93.112595	82.274498	93.969015
raw	pilot	positive_control	R1	Sequence Length Distribution	maximum_read_length	nt	38	302.000000	302.000000	302.000000	302.000000	302.000000
raw	pilot	positive_control	R1	Sequence Length Distribution	mean_read_length	nt	38	287.117361	165.333361	295.241333	104.298959	297.275937
raw	pilot	positive_control	R1	Sequence Length Distribution	median_read_length	nt	38	301.000000	166.500000	301.000000	34.500000	301.000000
raw	pilot	positive_control	R1	Sequence Length Distribution	minimum_read_length	nt	38	30.000000	30.000000	30.000000	30.000000	30.000000
raw	pilot	positive_control	R2	Adapter Content	maximum_adapter_content	percent	38	0.902234	0.584313	5.817599	0.487566	8.870029
raw	pilot	positive_control	R2	Basic Statistics	percent_gc	percent	38	55.000000	52.000000	57.300000	51.000000	62.000000
raw	pilot	positive_control	R2	Basic Statistics	poor_quality_sequences	reads	38	0.000000	0.000000	0.000000	0.000000	0.000000
raw	pilot	positive_control	R2	Basic Statistics	total_bases	bases	38	115450000.000000	73420000.000000	162880000.000000	61400000.000000	350500000.000000
raw	pilot	positive_control	R2	Basic Statistics	total_sequences	reads	38	441160.500000	275402.300000	618210.000000	211769.000000	1324645.000000
raw	pilot	positive_control	R2	Overrepresented sequences	overrepresented_reads	percent	38	37.805217	13.153480	50.007246	10.681002	51.995807
raw	pilot	positive_control	R2	Overrepresented sequences	top_overrepresented_sequence	percent	38	3.234255	1.292270	30.512695	0.894938	49.301058
raw	pilot	positive_control	R2	Per base N content	maximum_n_content	percent	38	3.413429	1.908434	30.819757	1.888438	49.713123
raw	pilot	positive_control	R2	Per base sequence content	maximum_base_composition_range	percent	38	98.986756	96.605305	99.308171	95.026629	99.416156
raw	pilot	positive_control	R2	Per base sequence quality	median_mean_base_quality	Phred	38	37.003316	36.479950	37.450407	35.157932	37.676668
raw	pilot	positive_control	R2	Per base sequence quality	minimum_lower_quartile_base_quality	Phred	38	12.000000	2.000000	12.000000	2.000000	12.000000
raw	pilot	positive_control	R2	Per base sequence quality	minimum_mean_base_quality	Phred	38	18.811228	14.179364	19.278652	10.812219	19.539164
raw	pilot	positive_control	R2	Per sequence GC content	gc_content_p10	percent	38	1.000000	0.000000	49.000000	0.000000	50.000000
raw	pilot	positive_control	R2	Per sequence GC content	gc_content_p90	percent	38	57.000000	56.000000	63.000000	56.000000	64.000000
raw	pilot	positive_control	R2	Per sequence GC content	mean_gc_content	percent	38	47.237505	34.493486	50.686543	27.917724	51.254972
raw	pilot	positive_control	R2	Per sequence quality scores	mean_sequence_quality	Phred	38	34.745966	24.735450	35.627856	18.197306	35.725621
raw	pilot	positive_control	R2	Per sequence quality scores	pct_reads_mean_quality_le_20	percent	38	4.266252	2.399077	31.547044	1.848351	50.083154
raw	pilot	positive_control	R2	Per sequence quality scores	pct_reads_mean_quality_le_30	percent	38	9.349525	6.841734	40.110307	6.375946	58.634351
raw	pilot	positive_control	R2	Per tile sequence quality	maximum_tile_mean_deviation	Phred	38	7.273207	6.984886	7.711786	6.911806	8.068242
raw	pilot	positive_control	R2	Sequence Duplication Levels	deduplicated_reads	percent	38	19.697224	13.113574	22.935112	11.457071	26.814292
raw	pilot	positive_control	R2	Sequence Duplication Levels	duplicate_reads	percent	38	80.302776	77.064888	86.886426	73.185708	88.542929
raw	pilot	positive_control	R2	Sequence Duplication Levels	reads_duplication_level_gt_10	percent	38	72.365955	69.209498	82.137146	63.630405	84.380440
raw	pilot	positive_control	R2	Sequence Length Distribution	maximum_read_length	nt	38	302.000000	302.000000	302.000000	302.000000	302.000000
raw	pilot	positive_control	R2	Sequence Length Distribution	mean_read_length	nt	38	287.086161	164.857492	295.265594	102.880201	297.262243
raw	pilot	positive_control	R2	Sequence Length Distribution	median_read_length	nt	38	301.000000	166.500000	301.000000	34.500000	301.000000
raw	pilot	positive_control	R2	Sequence Length Distribution	minimum_read_length	nt	38	30.000000	30.000000	30.000000	30.000000	30.000000
trimmed	current	biopsy	R1	Adapter Content	maximum_adapter_content	percent	130	2.151130	0.363060	9.155522	0.083422	13.218834
trimmed	current	biopsy	R1	Basic Statistics	percent_gc	percent	130	50.000000	49.000000	51.000000	45.000000	55.000000
trimmed	current	biopsy	R1	Basic Statistics	poor_quality_sequences	reads	130	0.000000	0.000000	0.000000	0.000000	0.000000
trimmed	current	biopsy	R1	Basic Statistics	total_bases	bases	130	53250000.000000	33660000.000000	72860000.000000	157400.000000	96800000.000000
trimmed	current	biopsy	R1	Basic Statistics	total_sequences	reads	130	194021.500000	121129.200000	278381.300000	582.000000	358110.000000
trimmed	current	biopsy	R1	Overrepresented sequences	overrepresented_reads	percent	130	58.772108	35.098739	69.151650	18.092113	100.000000
trimmed	current	biopsy	R1	Overrepresented sequences	top_overrepresented_sequence	percent	130	10.338444	4.955963	22.377640	2.014101	50.054211
